,Date,Confirmed,Deaths,Recovered,Active
0,2020-03-23,29056.0,123.0,453.0,28480.0
1,2020-03-24,32986.0,157.0,3243.0,29586.0
2,2020-03-25,37323.0,206.0,3547.0,33570.0
3,2020-03-26,43938.0,267.0,5673.0,37998.0
4,2020-03-27,50871.0,342.0,6658.0,43871.0
5,2020-03-31,71808.0,775.0,16100.0,54933.0
6,2020-04-01,77872.0,920.0,18700.0,58252.0
7,2020-04-03,91159.0,1275.0,24575.0,65309.0
8,2020-04-05,100123.0,1584.0,28700.0,69839.0
9,2020-04-07,107663.0,2016.0,36081.0,69566.0
10,2020-04-08,113296.0,2349.0,46300.0,64647.0
11,2020-04-09,118181.0,2607.0,52407.0,63167.0
12,2020-04-10,122171.0,2767.0,53913.0,65491.0
13,2020-04-11,124908.0,2736.0,57400.0,64772.0
14,2020-04-12,127854.0,3022.0,60300.0,64532.0
15,2020-04-13,130072.0,3194.0,64300.0,62578.0
16,2020-04-14,131359.0,3294.0,68200.0,59865.0
17,2020-04-15,134753.0,3804.0,72600.0,58349.0
18,2020-04-16,137698.0,4052.0,77000.0,56646.0
19,2020-04-17,141397.0,4352.0,83114.0,53931.0
20,2020-04-18,143342.0,4459.0,85400.0,53483.0
21,2020-04-19,145184.0,4586.0,88000.0,52598.0
22,2020-04-20,147065.0,4862.0,91500.0,50703.0
23,2020-04-21,148291.0,5033.0,95200.0,48058.0
24,2020-04-22,150648.0,5279.0,99400.0,45969.0
25,2020-04-24,153129.0,5575.0,103300.0,44254.0
26,2020-04-25,154999.0,5760.0,109800.0,39439.0
27,2020-04-26,156513.0,5877.0,109800.0,40836.0
28,2020-04-27,157770.0,5976.0,112000.0,39794.0
29,2020-04-28,158758.0,6126.0,114500.0,38132.0
30,2020-04-29,159912.0,6314.0,117400.0,36198.0
31,2020-04-30,161539.0,6467.0,120400.0,34672.0
32,2020-05-01,163009.0,6623.0,123500.0,32886.0
33,2020-05-02,164077.0,6736.0,126900.0,30441.0
34,2020-05-03,164967.0,6812.0,129000.0,29155.0
35,2020-05-04,165664.0,6866.0,130600.0,28198.0
36,2020-05-05,166152.0,6993.0,132700.0,26459.0
37,2020-05-06,167007.0,6993.0,135100.0,24914.0
38,2020-05-07,168162.0,7275.0,139900.0,20987.0
39,2020-05-08,169430.0,7392.0,141700.0,20338.0
40,2020-05-09,170588.0,7510.0,141700.0,21378.0
41,2020-05-10,171324.0,7549.0,143300.0,20475.0
42,2020-05-11,171879.0,7569.0,144400.0,19910.0
43,2020-05-12,172576.0,7661.0,145617.0,19298.0
44,2020-05-13,173171.0,7738.0,147200.0,18233.0
45,2020-05-14,174098.0,7861.0,148700.0,17537.0
46,2020-05-15,173686.0,7795.0,150300.0,16294.0
47,2020-05-16,174602.0,7824.0,151597.0,15739.0
48,2020-05-17,175165.0,7881.0,152600.0,15214.0
49,2020-05-18,175891.0,7914.0,154011.0,14396.0
50,2020-05-19,176014.0,7935.0,155041.0,13507.0
51,2020-05-20,177258.0,8007.0,155681.0,14016.0
52,2020-05-21,177943.0,8090.0,156966.0,13363.0
53,2020-05-22,178531.0,8147.0,158087.0,12731.0
54,2020-05-23,179167.0,8174.0,159064.0,12418.0
55,2020-05-24,179584.0,8216.0,159716.0,12009.0
56,2020-05-25,179968.0,8247.0,160281.0,11764.0
57,2020-05-26,180241.0,8257.0,161199.0,11092.0
58,2020-05-27,180837.0,8302.0,161967.0,10861.0
59,2020-05-28,180898.0,8349.0,162820.0,10276.0
60,2020-05-29,181296.0,8411.0,163360.0,10366.0
61,2020-05-30,182226.0,8450.0,164245.0,10173.0
